LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"force majeure: the sellers shall not be held responsible for the delay in shipment or non-delivery, of the goods due to force majeure, which might occur during the process of manufacturing or in the course of loading or transit.","interval,interval"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement,"accordingly, lifeway will be solely responsible for the payment of all taxes, together with any related liabilities (including interest and penalties), imposed upon it by law or any governmental authority for which lifeway is primarily liable.","before,interval,cond_a,cond_a"
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT,"this agreement shall be renewed automatically for another five (5) years upon the expiration unless the parties confirm, in writing, the termination of this agreement.","interval,cond_a,unless"
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement,the above-referenced cap shall be determined based on all product purchases made under this agreement.,
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement",sic shall allow tkci to review and analyze all business opportunities that could be mutually beneficial to tkci and sic within the time frame of this alliance.,
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2,"6. this contract may not be modified or terminated except in writing, and no claimed modification, termination or waiver shall be binding unless also signed by an authorized representative of playboy.","before,cond_a,unless,unless"
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT,"during the term, the company shall advise consultant of any and all promotional activities with respect to its securities, prior to the commencement of such activities, including, but not limited to, press releases and engagements with other investment relations firms or other service providers providing services similar to those or the services provided in a statement of work.","before,interval,cond_a"
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT","corporate sponsorship agreement this agreement (the ""agreement"") is entered into as of may 18, 2010, (the ""effective date"") by and between phoenix performance, llc, 481 schuylkill road, phoenixville, pa 19460 (""vendor"") and torvec inc.., a new york corporation with its principal place of business located at 1999 mt read blvd, building 3, rochester, ny. 14615 (torvec).","before,interval,interval"
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"(f) in the event of delay by vehicle malfunction or traffic accidents, party b shall settle such malfunction or accidents within half an hour.","before,cond_a"
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT,"this sponsorship fee of $ [ * ] shall be paid to sabco in the following installments: year one (1998): $ [ * ] (four equal installments of $ [ * ] to be paid on 3/15/98, 6/15/98, 8/15/98 and 10/15/98); year two (1999): $ [ * ] (four equal installments of $ [ * ] to be paid on 3/15/99, 6/15/99, 8/15/99 and 10/15/99); year three (year-2000): $ [ * ] (four equal installments of $ [ * ] to be paid on 3/15/2000, 6/15/2000,8/15/2000 and 10/15/2000).",after
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",this agreement shall not be assignable by consultant.,before
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT,"in addition, for each project field, project completion will include, but not limited to: a) obtaining required permits, easements and governmental approvals; b) executing necessary"" construction contract(s); c) completing tests considered usual and customary"" and required to be conducted with results tn accordance with those necessary"" to permit operations; d) ensuring that each project field is free and clear of all bens other than those in favor of guaranty and permitted liens under the credit agreement and: e) causing all costs of the development project to be paid when due; and, b) the 12-inch loop pipeline fromnorth padre island area ocs block 996 to the pipeline owned by the williams companies inc. having been constructed and installed in accordance with the plans and specifications in the construction contracts).","before,interval,interval,cond_t,cond_a"
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement","[***] usd on december 1, 2018 such payments shall be made in accordance with section 3.4 of the agreement; provided, however, that the initial payment described in section 5(a) above shall be due no later than december 31,2017.","after,cond_a"
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,"each work order shall set forth the terms and conditions (including specifications (if applicable), delivery and performance schedules, and fees) pursuant to which porex will perform the services.","interval,cond_a"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement,"ownership - individual agrees that she does not have, and shall not claim to have, either under this agreement or otherwise, any right, title or interest of any kind or nature in and to the ideas, likenesses, images, announcements, phrases, titles, music or words used in the marketing materials, and that all rights therein, including the copyright, are recognized to be owned by lifeway.","before,cond_a"
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"limitation of liability i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages.","interval,cond_a"
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","sierra shall cease making sales to any customer or distributor who, during the term of this agreement, violates envision's exclusivity.",interval
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",the driver for these events will be john heinricy.,interval
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,additions to the products shall be by mutual agreement.,before
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT,"v6c 3l2 (""charity tunes"") and conagra foods canada inc.",
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,2) no addition or modification to this agreement shall be valid unless made in writing and signed by the parties.,"before,cond_a,unless"
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",the parties shall not unreasonably disapprove any material.,
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,any change of addresser fax number must be designated in writing and served in accordance with this section.,
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT","under no circumstances, including negligence, shall xacct be liable for any special, incidental or consequential damages including, without limitation, damages for lost profits, loss of data, or costs of procurement of substitute goods or services, arising in any way out of this agreement or the use of the product and documentation even if xacct has been advised of the possibility of such damages or losses.","interval,cond_a,unless"
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT,j. mkos will cooperate with utek and will promptly provide utek with all pertinent materials and requested information in order for utek to perform its services pursuant to this agreement ii.,interval
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,ehs and ehn agree that they shall not use dr. murray's name or likeness on its products or product marketing materials unless specifically approved by dr. murray by written acknowledgement including emails and facsimile transmissions of his approval.,"before,cond_a,unless"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,"3 source: bravatek solutions, inc., 8-k, 4/18/2017 e. upon termination or expiration of this agreement, other than with respect to customers of the reseller existing at any time prior to the termination or expiration and with respect to ongoing sales or prospective sales, reseller (i) shall immediately discontinue any use of the name, logotype, marks or slogans of company, (ii) shall immediately discontinue all representations or statements from which it might be inferred that any relationship exists between the parties, (iii) will cease to promote, solicit orders for or procure orders for the product, (iv) will immediately return to company all proprietary information (as defined below) and any other information or materials of company in its possession, custody or control in whatever form held (including copies or embodiments thereof relating thereto).","before,interval,interval,interval,cond_a"
