PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,the employer shall be the beneficiary of the remaining death proceeds of the policy after the employee's interest is determined.,after the employee's interest is determined.,Happens,conditional,,after EVENT
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,"licensee shall notify licensor promptly after it becomes aware of any actual or threatened infringement, imitation, dilution, misappropriation or other unauthorized use or conduct in derogation (""infringement"") of the brand.","after it becomes aware of any actual or threatened infringement, imitation, dilution, misappropriation or other unauthorized use or conduct in derogation (""infringement"") of the brand",Happens,conditional,,after EVENT
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"the sellers shall, immediately after dispatch of the goods, advise the buyers by cable/letter of the contract no., commodity, invoiced value and date of dispatch for the buyers.",immediately after dispatch of the goods,Happens,conditional,,after EVENT
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)","at aduro's request and expense, consultant shall assist aduro in acquiring and maintaining its right in and title to, any work product.",at aduro's request and expense,Happens,conditional,,at EVENT
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,customer may terminate this agreement and the license at any time by destroying all copies of software including any documentation.,by destroying all copies of software including any documentation.,termination power,conditional,,by EVENT
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,this agreement may be terminated at any time by the vote of a majority of the outstanding voting securities of the fund ,by the vote of a majority of the outstanding voting securities of the fund,termination power,conditional,,by EVENT
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"7.3 either party may cancel this agreement already prior to the date of its fulfillment, if it becomes evident that the other party will commit a breach of contract entitling to cancellation of this agreement.",if it becomes evident that the other party will commit a breach of contract entitling to cancellation of this agreement,termination power,conditional,,if EVENT
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT","if you believe that the company has billed you incorrectly, you must contact company no later than 60 days after the closing date on the first billing statement in which the error or problem appeared, in order to receive an adjustment or credit.",if you believe that the company has billed you incorrectly,Happens,conditional,,if EVENT
MSCIINC_02_28_2008-EX-10.10-,"all such notices, requests and other communications shall be deemed given if sent by facsimile transmission (receipt confirmed) on a business day prior to 5 p.m. ",if sent by facsimile transmission (receipt confirmed) on a business day prior to 5 p.m. ,Happens,conditional,,if EVENT
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,this agreement may be terminated by reseller for cause immediately if the use or sale of company products are enjoined due to any claim of infringement of any u.s. patent or copyright or of any misappropriation of trade secrets;,if the use or sale of company products are enjoined due to any claim of infringement of any u.s. patent or copyright or of any misappropriation of trade secrets,termination power,conditional,,if EVENT
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement,"if the customer terminates the agreement, then val shall compensate the developer up to the date of termination with a fee calculated on pro-rata basis.",if the customer terminates the agreement,Happens,conditional,,if EVENT
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,"if porex begins to perform services under a work order that has not been formally agreed in writing, then porex shall bear the costs of any expenses incurred prior to formal written agreement of the statement of work.",if porex begins to perform services under a work order that has not been formally agreed in writing,Happens,conditional,,if EVENT
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT","if product maintenance and support services are terminated for any reason, at xacct's sole option, licensee may reinstate or renew product maintenance and support services by paying xacct all applicable product maintenance and support services and reinstatement fees.",if product maintenance and support services are terminated for any reason,Happens,conditional,,if EVENT
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,"if lucid requests, the distributor will assist in protecting such intellectual property from infringement.",if lucid requests,Happens,conditional,,if EVENT
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"if the solvency of the society becomes impaired, you may be required to make an extra payment.",if the solvency of the society becomes impaired,Happens,conditional,,if EVENT
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"if the breach of contract is capable of being remedied, this agreement can be cancelled only provided that the party in breach has not rectified its breach",if the breach of contract is capable of being remedied,termination power,conditional,,if EVENT
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"if the investment adviser is required to reimburse the fund, the investment adviser shall make such payment within 30 days after each month-end in the amount due the fund as of each month.",if the investment adviser is required to reimburse the fund,Happens,conditional,,if EVENT
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,"8. if lucent determines that mphase's goods are no longer maintained at the current level of quality, lucent shall so notify mphase, in writing, and lucent shall have the right to terminate this agreement.",if lucent determines that mphase's goods are no longer maintained at the current level of quality,termination power,conditional,,if EVENT
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,"if distributor rejects such alternative terms, the purchase order will not be accepted by xplore.",if distributor rejects such alternative terms,Happens,conditional,,if EVENT
Biomass,"The point of delivery of the Product Samples shall be a laboratory determined by Gridiron, if Gridiron determines that third party analysis of the Biomass is required for processing.",if Gridiron determines that third party analysis of the Biomass is required for processing,Happens,conditional,,if EVENT
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT,"if maimon should become unable to serve as ceo, then the company shall have the right to terminate this agreement on five days prior written notice.",if maimon should become unable to serve as ceo,termination power,conditional,,if EVENT
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"if the fund is required to pay the investment adviser the expense waiver, the fund shall make such payment within 30 days after each month-end.",if the fund is required to pay the investment adviser the expense waiver,Happens,conditional,,if EVENT
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",either party may terminate this agreement immediately if the other party files a petition commencing a voluntary case under the bankruptcy code,if the other party (i) files a petition commencing a voluntary case under the bankruptcy code,termination power,conditional,,if EVENT
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT","if xacct determines that a problem reported by licensee is not due to an error in the product, xacct will so notify licensee.",if xacct determines that a problem reported by licensee is not due to an error in the product,Happens,conditional,,if EVENT
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,"if the fund's net investment income on any day is below zero, the investment adviser shall waive its advisory fee or reimburse the fund an amount (defined as ""expense waiver"") sufficient to produce a net investment income of zero.",if the fund's net investment income on any day is below zero,Happens,conditional,,if EVENT
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"if domini serves as the sponsor for less than the whole of any period specified in this section 3, the compensation to domini, as sponsor, shall be prorated.",if domini serves as the sponsor for less than the whole of any period specified in this section 3,Happens,conditional,,if EVENT
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,"if the company promptly notifies agi in writing of a third party claim against the company alleging that the company's use of the trademarks infringes a united states registered trademark, agi will defend such claim at its expense and will indemnify the company, its agents and representatives, for all losses, claims, charges, costs and expenses incurred by the company as a result of such claim.",if the company promptly notifies agi in writing of a third party claim against the company alleging that the company's use of the trademarks infringes a united states registered trademark,Happens,conditional,,if EVENT
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT,if this agreement is terminated any unvested shares will be returned to mkos.,if this agreement is terminated,Happens,conditional,,if EVENT
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3,you must sign a general release if you renew or transfer your franchise.,if you renew or transfer your franchise,Happens,conditional,,if EVENT
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,"if a party materially breaches an obligation under this agreement, the non-breaching party may terminate this agreement immediately upon written notice to the breaching party.",if a party materially breaches an obligation under this agreement,termination power,conditional,,if EVENT
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"litigation expense if there is a default under this agreement, the defaulting party must reimburse the non-defaulting party for all costs and expenses reasonably incurred by the non-defaulting party in connection with the default, including attorney's fees.",if there is a default under this agreement,Happens,conditional,,if EVENT
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"if dividends are credited after premiums can no longer be paid under this contract, dividends will be paid in cash.",if dividends are credited after premiums can no longer be paid under this contract,Happens,conditional,,if EVENT
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT,"if, for any applicable period, the independent auditor determines that mp3.com overstated the count by more than five percent (5%), than mp3.com shall pay the cost of the audit and shall refund tickets the difference between the amount originally paid and the amount which should have been paid, or mp3.com shall credit the appropriate amount of impressions to tickets' account.","if, for any applicable period, the independent auditor determines that mp3.com overstated the count by more than five percent (5%),",Happens,conditional,,if EVENT
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,dgt shall be entitled to terminate this agreement if dolphin fails to meet its requirements and material obligation hereunder and only after dgt have given dolphin written notice of such failure and only after dolphin has not rectified such failure within 10 days of the notice.,if dolphin fails to meet its requirements and material obligation hereunder,termination power,conditional,not,if EVENT
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"if you do not make the extra payment within 60 days from the date we notify you of your share of the deficiency, the amount will be charged as an indebtedness against the contract with interest compounded at the rate of 5% per year.",if you do not make the extra payment within 60 days from the date we notify you of your share of the deficiency,Happens,conditional,not,if EVENT
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"if the sellers fail to answer the buyers within one weeks after receipt of the aforesaid claim, the claim shall be reckoned as having been accepted by the sellers.",if the sellers fail to answer the buyers within one weeks after receipt of the aforesaid claim,Happens,conditional,not,if EVENT
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT","if consultant might be unable to render services or otherwise participate in such work without risk of breaching an obligation of confidentiality to another party, consultant will promptly advise the company's general counsel of the situation and company and consultant shall, in good faith, attempt to resolve any such conflicts(s).",if consultant might be unable to render services or otherwise participate in such work without risk of breaching an obligation of confidentiality to another party,Happens,conditional,not,if EVENT
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,"if cerus does not reject in writing within [*] days, the services shall be considered accepted by cerus.",if cerus does not reject in writing within [*] days,Happens,conditional,not,if EVENT
